url,entity_identifier,incident_threat_type,threat_summary
https://meta-wavex.pages.dev/,,parked-page,The URL points to a parked page with no specific branding or content.
https://meta-device.pages.dev/,,parked-page,"The URL points to a parked page on a development domain, likely used for placeholder or monetized content."
https://meta-support-tagid.pages.dev/,,parked-page,"The URL resolves to a parked page with no clear entity identified, suggesting potential domain squatting."
https://meta-jet.pages.dev/,,parked-page,"The URL leads to a parked page, likely used for domain squatting or ad revenue."
https://meta-support-subscriber.pages.dev/,,parked-page,The URL resolves to a parked page commonly used for domain squatting or ad revenue generation.
http://meta-math.pages.dev/,,parked-page,"The URL appears to be a parked page with no identifiable entity, potentially used for domain squatting or ad revenue."
http://eswhatsapp.cc/,,fake-affiliation,"The URL may represent a fake affiliation with WhatsApp due to its domain structure, but no actual content analysis is available."
https://facebook-feed5942.rollout.site/,Facebook,impersonation,The website impersonates Facebook by mimicking its branding.
https://meta-mission.pages.dev/,,parked-page,The URL is a parked page likely used for monetization or domain squatting.
https://meta-shine.pages.dev/,,parked-page,The page appears to be a parked page with no specific content or branding identified.
http://meta-lightx.pages.dev/,,error_page,"The URL leads to an error page, suggesting limited or no content is available."
http://blax-meta-quip.pages.dev/,,parked-page,The URL points to a parked page on a free hosting service with no specific brand or individual impersonation detected.
http://meta-for-business-messaging-quality.pages.dev/,,parked-page,"The page is likely a parked domain with limited content, showing no clear brand or entity impersonation."
http://meta-hevlor-dryvon-mixal.pages.dev/,,parked-page,"The site is a parked page, likely serving placeholder or monetized content."
http://meta-havrik-fenrak-sorvik.pages.dev/,,parked-page,The URL is a parked page with no discernible content or brand reference.
http://meta-jynros-halrek-venix.pages.dev/,,parked-page,The URL leads to a parked page with no specific branding or entity impersonation.
https://s1.whatsapp.desarrollosgps.com,,error_page,"Limited content available, classified as an error page due to lack of meaningful data."
https://lo-whatsapp.com.cn,,,
https://www.lo-whatsapp.com.cn,,,
https://gzslpx.com,WhatsApp,impersonation,"The website impersonates WhatsApp, attempting to deceive users into believing it's the official web version."
https://www.wahtscnapp.com,WhatsApp,impersonation,The website impersonates WhatsApp by attempting to mimic its web login functionality.
https://chengliangchina.com,WhatsApp,impersonation,The website impersonates WhatsApp by mimicking its web login interface and functionality.
https://www.chengliangchina.com,WhatsApp,impersonation,The website impersonates WhatsApp by mimicking its web-based communication service.
https://web.youdaorrrrxk.top,WhatsApp,impersonation,The URL impersonates WhatsApp by mimicking its login process.
https://web.youdaorrrjzu.top,WhatsApp,impersonation,"The website impersonates WhatsApp, displaying a login interface to deceive users."
https://web.youdaorrrmxg.top,WhatsApp,impersonation,The website impersonates WhatsApp with a login page and misleading instructions.
https://web.youdaoryrrxz.top,WhatsApp,impersonation,"The website impersonates WhatsApp, aiming to deceive users into believing it's an official login page."
https://fixacebook.com,Facebook,fake-affiliation,The website impersonates Facebook by mimicking its media embedding functionality with a deceptive URL.
https://5.628211.xyz,WhatsApp,impersonation,The site impersonates WhatsApp using a suspicious domain.
https://3.858058.xyz,WhatsApp,impersonation,The website impersonates WhatsApp by mimicking its web application interface and features.
https://fzwrw.115xzjkyrhla.com,WhatsApp,impersonation,The website impersonates WhatsApp by mimicking its web interface and login procedures.
https://festabook.my.id,Facebook,impersonation,"The site is impersonating Facebook, indicated by the domain and page content."
https://afs.wtaags.top,WhatsApp,apk-distribution,The site impersonates WhatsApp and distributes a potentially malicious Mac app.
https://wps.whatsaoa.cn,WhatsApp,impersonation,The website impersonates WhatsApp by offering downloads and login prompts.
https://aanei.yumn2111.shop,WhatsApp,fake-affiliation,"The site falsely claims affiliation with WhatsApp, potentially misleading users."
https://www.wup.plus,WhatsApp,fake-affiliation,"The website claims affiliation with WhatsApp, potentially misleading users."
https://wup.plus,WhatsApp,fake-affiliation,The website falsely claims affiliation with WhatsApp.
https://qqq.whatsappimages.com,,parked-page,Limited information available; classified as parked page due to lack of content.
https://s1.whatsapp.desarrollosgps.com,,parked-page,The URL appears to be a parked page with no clear reference to any known brand or individual.
https://whatsapp.diegopita.cloud,,,
https://meta.formcontactpage.xyz,,,
https://facebookbaixargratis.com.br,Facebook,impersonation,"The website impersonates Facebook, likely for deceptive purposes."
https://whatsapp-hter.ink,,error_page,The URL hosts an error page with no content available for analysis.
https://whatsapp2.com,,typosquatting,"The domain 'whatsapp2.com' resembles a legitimate brand but lacks sufficient content to confirm impersonation, indicating typosquatting."
https://whatsapp-htks.art,,error_page,The URL leads to an error page with limited content.
https://xn--meta-es8qx3ept9a.com,,parked-page,"The URL resolves to an IP but lacks content details, suggesting a parked page."
https://xn--meta-y24rr86f.com,,typosquatting,"The domain appears to be a potential typosquatting attempt on 'Meta', but no impersonation or malicious content was detected."
https://facebookads.my,Facebook,fake-affiliation,"The website falsely affiliates with Facebook, offering services under a misleading domain."
https://xn--meta-es2ta.com,,parked-page,The website is a parked page with limited content available.
https://whatsapp-htfg.love,,,
https://whatsapp-hyro.cyou,,,
https://xn--meta-em5rm68g.com,,parked-page,The URL appears to lead to a parked page with no clear entity identified.
https://whatsappprinter.at,,,
https://oculusvr.at,,,
https://whatsapp.cd,,,
https://xn--meta-jt8qf62avz0b.com,,parked-page,The URL leads to a parked page indicating expired domain status with generic renewal information.
https://actualizar-messenger.com,,parked-page,"The URL is classified as a parked page with limited content available, indicating potential domain squatting or monetized placeholder use."
https://instagram.my,,parked-page,The domain appears to be a parked page with no clear branding or impersonation detected.
https://buyinstagramfollowers.in,,,
https://facebookmessenger.it,Facebook,impersonation,The URL impersonates Facebook Messenger as a phishing site.
https://meta카지노몰.com,,,
https://grupoputariawhatsapp.com.br,,sensitive-data,"The website content suggests adult groups, which may involve sensitive data."
https://meta-me.uk,,parked-page,"The URL leads to a 'Coming Soon' page, indicating it's currently parked and likely not actively used for malicious purposes."
https://a7-web-whatsapp.shop,,parked-page,The URL points to a parked page with no clear entity identification or malicious activity.
https://meta안경.com,,,
https://meta중고차mall.com,,,
https://meta파산.com,,,
https://meta바카라mall.com,,,
https://meta-mineraldynamics.com,,parked-page,The URL leads to a generic 'Coming Soon' placeholder page with no clear brand or individual impersonation.
https://meta-ads.agency,,parked-page,The domain is a parked page with no clear impersonation or fraudulent activity.
https://meta카지노mall.com,,,
https://apesmeta.com,,parked-page,"The URL leads to a parked page with no discernible content or branding, indicating potential domain squatting."
https://whatsappwfb.cc,,parked-page,The domain is a parked page with no clear impersonation or malicious content identified.
https://meta토토.com,,,
https://xn--meta-eh5qp4t2w8a.com,,typosquatting,"The URL likely represents a typosquatting attempt due to its non-standard Punycode structure, but no content analysis was possible for further classification."
https://meta토토mall.com,,,
https://meta-weblogon.com,,parked-page,The URL points to a parked page with limited content analysis possible.
https://meta휠.com,,,
https://meta바카라몰.com,,,
https://chatbotwhatsapp.store,Chatbot WhatsApp,scam-service,"The website offers a scam service for WhatsApp automation, with misleading claims of lifetime access and no monthly fees."
https://meta-service.site,,parked-page,"The URL leads to a parked domain page, indicating it is not currently hosting any legitimate or malicious content."
https://eurmeta.online,,parked-page,"The URL leads to a parked page with no discernible brand or individual impersonation, classified as 'parked-page' with limited information available."
https://meta-wiki.ru,,parked-page,"The URL leads to a parked page with no specific brand or individual impersonation, primarily displaying generic content."
https://web-fvr-cn-whatsapp.com.cn,,error_page,The URL leads to an error page with a '403 Forbidden' status.
https://web-zzx-cn-whatsapp.com.cn,,error_page,"The URL is an error page indicating forbidden access, showing no active threat."
https://web-ffx-cn-whatsapp.com.cn,,warning_page,The URL leads to a warning page indicating restricted access.
https://web-zrv-cn-whatsapp.com.cn,,directory_listing,"The URL points to a directory listing with limited content, indicating no impersonation or malicious activity."
https://web-hln-cn-whatsapp.com.cn,,error_page,The URL is an error page with no available content for further analysis.
https://web-vrh-cn-whatsapp.com.cn,,error_page,The page is a standard error page with no discernible threat or impersonation.
https://urbantoneglyphflaremeta.ru,,parked-page,The URL appears to be a parked page with no clear brand or individual impersonation.
https://web-bhf-cn-whatsapp.com.cn,,warning_page,"The URL leads to a forbidden warning page, indicating limited or no content availability."
https://web-fxf-cn-whatsapp.com.cn,,error_page,"The URL leads to an HTTP 403 Forbidden error page, indicating restricted access with no impersonation or malicious content detected."
https://web-nxz-cn-whatsapp.com.cn,,warning_page,The URL leads to a warning page with no available content for deeper analysis.
https://p2p-messenger.ru,,scam-service,"The site appears to offer a messaging service but lacks clear brand association and legitimate content, indicating potential scam."
https://web-jjb-cn-whatsapp.com.cn,,warning_page,"The website displays a '403 Forbidden' error, indicating restricted access with no further content for analysis."
https://web-ddh-cn-whatsapp.com.cn,,directory_listing,The URL leads to a directory listing with no content available for deeper analysis.
https://web-bph-cn-whatsapp.com.cn,,parked-page,The URL likely represents a parked page with no clear brand or individual impersonation detected.
https://web-xnv-cn-whatsapp.com.cn,,error_page,The URL leads to an error page with no content available for further analysis.
https://web-tdn-cn-whatsapp.com.cn,,error_page,"The URL points to an error page, indicating no content was available for deeper analysis."
https://bluetickconfirmedmeta.sbs,,parked-page,"The website appears to be a parked page with no significant content or branding, indicating potential domain squatting."
https://web-brf-cn-whatsapp.com.cn,,error_page,"The URL leads to a forbidden access page, indicating an error page with no further content analysis possible."
https://facebook238.top,,parked-page,The URL is associated with a parked page that resembles the Facebook brand but does not impersonate or distribute malicious content.
https://meta-care.site,,parked-page,"The URL leads to a parked domain with generic content, indicating it is used for potential ad revenue generation."
https://web-jdr-cn-whatsapp.com.cn,,,
https://meta-agency-partner.com,,parked-page,"The URL appears to be a parked page with no clear entity or content indicating impersonation, malware, or other threats."
https://web-jrl-cn-whatsapp.com.cn,,directory_listing,"The URL leads to a directory listing, indicating no malicious content was found."
https://web-sos-cn-whatsapp.com.cn,,,
https://web-rvf-cn-whatsapp.com.cn,,parked-page,"The URL is a parked page displaying an HTTP 403 Forbidden error, indicating limited or no content was available."
https://web-osm-cn-whatsapp.com.cn,,error_page,"The URL resolves to a forbidden error page, indicating limited or no available content."
https://web-pfl-cn-whatsapp.com.cn,,,
https://web-prj-cn-whatsapp.com.cn,,,
https://pragmeta.com,,parked-page,"The domain is a parked page for sale, with no impersonation or malicious content detected."
https://web-hhl-cn-whatsapp.com.cn,,directory_listing,The website shows a directory listing with restricted access.
